City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
644,Bardiyah,LY,65.88,clear sky,31.7561,25.0865,بورتو بردية
645,Meadow Lake,US,77.85,clear sky,34.8014,-106.5436,TumbleWeed RV Park
656,Faya,SA,66.58,clear sky,18.3851,42.4509,املاك خالد الشعشوع
660,Hervey Bay,AU,67.01,light rain,-25.2986,152.8535,Shelly Bay Resort
663,Agadir,MA,68.45,scattered clouds,30.4202,-9.5982,Iberostar Founty Beach
668,Gorontalo,ID,75.67,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
669,Marawi,PH,69.89,overcast clouds,7.9986,124.2928,Derogongan Residence
672,Tarakan,ID,79.57,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
673,Las Margaritas,MX,74.97,overcast clouds,16.3167,-91.9833,Fam Esponda Arguello
675,Impfondo,CG,71.73,light rain,1.6381,18.0667,Auberge La Place de Jules
683,Hambantota,LK,77.34,scattered clouds,6.1241,81.1185,Bungalow 63
