City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
216,Mount Pleasant,US,4/27/22 17:19,32.7941,-79.8626,76.17,39,75,10.36
217,Filadelfia,US,4/27/22 17:24,39.9523,-75.1638,57.27,36,75,21.85
218,Linjiang,CN,4/27/22 17:24,41.8069,126.9078,37.72,45,60,1.59
219,Le Port,RE,4/27/22 17:24,-20.9373,55.2919,74.25,66,13,5.14
220,Jijiga,ET,4/27/22 17:24,9.35,42.8,67.91,71,97,8.32
221,Port Blair,IN,4/27/22 17:24,11.6667,92.75,82.44,89,40,2.3
222,Takhtamygda,RU,4/27/22 17:25,54.1,123.5667,25.47,54,23,0.78
223,Balgarovo,BG,4/27/22 17:25,42.6214,27.3046,56.89,82,5,8.05
224,Biu,NG,4/27/22 17:25,10.6129,12.1946,85.33,36,96,4.03
225,Cedar City,US,4/27/22 17:21,37.6775,-113.0619,65.39,15,0,20.71
226,Provideniya,RU,4/27/22 17:25,64.3833,-173.3,25.99,91,57,6.62
227,Teguldet,RU,4/27/22 17:25,57.3064,88.1667,37.74,90,96,4.47
228,Waingapu,ID,4/27/22 17:25,-9.6567,120.2641,75.36,82,96,3.94
229,Mirabad,AF,4/27/22 17:25,30.4362,61.8383,92.62,11,59,8.14
230,Basoko,CD,4/27/22 17:25,1.2391,23.616,76.08,77,62,4.09
231,Shwebo,MM,4/27/22 17:25,22.5667,95.7,90.46,18,0,6.13
232,Bengkulu,ID,4/27/22 17:25,-3.8004,102.2655,76.3,93,100,3.65
233,Lynn Haven,US,4/27/22 17:25,30.2455,-85.6483,80.01,45,0,5.01
234,Zaraza,VE,4/27/22 17:25,9.3503,-65.3245,85.87,58,100,5.99
235,Manta,EC,4/27/22 17:25,-0.95,-80.7333,82.18,78,40,10.36
236,Kununurra,AU,4/27/22 17:25,-15.7667,128.7333,73.38,83,40,0
237,Guerrero Negro,MX,4/27/22 17:25,27.9769,-114.0611,67.53,59,1,12.86
238,Sabha,LY,4/27/22 17:25,27.0377,14.4283,96.21,4,77,8.14
239,Mae Sai,TH,4/27/22 17:25,20.4335,99.8762,80.65,52,15,1.61
240,Hithadhoo,MV,4/27/22 17:25,-0.6,73.0833,83.77,75,100,6.15
241,Plettenberg Bay,ZA,4/27/22 17:25,-34.0527,23.3716,60.91,79,0,2.93
242,Kloulklubed,PW,4/27/22 17:25,7.0419,134.2556,73.9,80,100,16.17
243,Novopokrovka,UA,4/27/22 17:25,49.8425,36.5477,52.57,70,83,5.26
244,Gobabis,NA,4/27/22 17:25,-22.45,18.9667,72.88,26,14,10.49
245,La Tuque,CA,4/27/22 17:25,47.4334,-72.7824,41.25,60,100,13.8
246,Zhezkazgan,KZ,4/27/22 17:25,47.8043,67.7144,60.78,39,0,4.47
247,Adre,TD,4/27/22 17:25,13.4667,22.2,87.85,30,97,13.67
248,Pemangkat,ID,4/27/22 17:25,1.1667,108.9667,79.12,83,70,3.83
249,Bairiki,KI,4/27/22 17:25,1.3292,172.9752,80.6,89,40,12.66
250,Los Llanos De Aridane,ES,4/27/22 17:25,28.6585,-17.9182,67.75,77,20,14.97
251,Torbay,CA,4/27/22 17:25,47.6666,-52.7314,48.76,83,75,8.05
252,Southbridge,US,4/27/22 17:24,42.0751,-72.0334,56.39,59,76,8.99
253,Victoria,HK,4/27/22 17:21,22.2855,114.1577,84.18,86,5,10
254,Sligo,IE,4/27/22 17:25,54.2697,-8.4694,58.68,51,0,5.75
255,Laela,TZ,4/27/22 17:25,-8.5667,32.05,62.26,94,99,3.65
256,Paamiut,GL,4/27/22 17:25,61.994,-49.6678,34.18,97,100,26.02
257,Forestville,US,4/27/22 17:23,38.8451,-76.875,60.37,39,40,23.02
258,Inirida,CO,4/27/22 17:25,3.8653,-67.9239,84.33,67,99,2.17
259,Coihaique,CL,4/27/22 17:22,-45.5752,-72.0662,41.61,60,40,5.75
260,Rosetown,CA,4/27/22 17:26,51.5501,-108.0014,51.78,58,45,19.57
261,Auki,SB,4/27/22 17:26,-8.7676,160.7034,77.2,86,87,3.74
262,Bud,US,4/27/22 17:26,39.447,-86.1758,60.67,56,16,6.44
263,Bathsheba,BB,4/27/22 17:26,13.2167,-59.5167,77.61,94,75,12.66
264,Hambantota,LK,4/27/22 17:26,6.1241,81.1185,83.03,76,19,3.33
265,Touros,BR,4/27/22 17:26,-5.1989,-35.4608,85.32,66,99,13.2
266,Coquimbo,CL,4/27/22 17:27,-29.9533,-71.3436,67.73,63,20,12.66
267,Nova Prata,BR,4/27/22 17:27,-28.7839,-51.61,87.28,51,2,8.08
268,Nagato,JP,4/27/22 17:27,34.3833,131.2,56.19,80,81,9.46
269,Nhulunbuy,AU,4/27/22 17:25,-12.2333,136.7667,77.61,94,64,0
270,Vardo,NO,4/27/22 17:27,70.3705,31.1107,22.98,93,99,25.32
271,Pinheiro,BR,4/27/22 17:27,-2.5214,-45.0825,82.71,83,93,4.32
272,Kaspiyskiy,RU,4/27/22 17:27,45.3929,47.3707,58.62,75,31,10.42
273,Butaritari,KI,4/27/22 17:27,3.0707,172.7902,81.3,81,13,17.85
274,Sola,VU,4/27/22 17:27,-13.8833,167.55,80.56,78,97,13.82
275,Dikson,RU,4/27/22 17:27,73.5069,80.5464,28.09,92,100,33.11
276,Yarada,IN,4/27/22 17:27,17.65,83.2667,86.32,79,40,5.75
277,Skegness,GB,4/27/22 17:27,53.1436,0.3363,49.05,79,100,13.15
278,Kahului,US,4/27/22 17:26,20.8947,-156.47,74.84,83,40,16.11
279,Port Hedland,AU,4/27/22 17:27,-20.3167,118.5667,77.05,78,40,5.75
280,Labytnangi,RU,4/27/22 17:27,66.6572,66.4183,16.02,86,4,7.65
281,Saint-Joseph,RE,4/27/22 17:27,-21.3667,55.6167,72.21,79,58,2.08
282,Riyadh,SA,4/27/22 17:26,24.6877,46.7219,87.94,24,49,22.39
283,Tasiilaq,GL,4/27/22 17:27,65.6145,-37.6368,37.56,77,100,5.3
284,Shenjiamen,CN,4/27/22 17:27,29.9576,122.298,56.28,83,37,6.2
285,Burnie,AU,4/27/22 17:27,-41.0667,145.9167,61.07,91,99,12.84
286,Yeppoon,AU,4/27/22 17:27,-23.1333,150.7333,67.78,85,20,13
287,Quatre Cocos,MU,4/27/22 17:27,-20.2078,57.7625,74.08,81,71,6.17
288,Zhuhai,CN,4/27/22 17:27,22.2769,113.5678,83.86,89,40,10.36
289,Ust-Kuyga,RU,4/27/22 17:27,70.0167,135.6,-4.88,100,100,4.56
290,Pasighat,IN,4/27/22 17:27,28.0667,95.3333,70.36,76,50,5.06
291,Ahipara,NZ,4/27/22 17:27,-35.1667,173.1667,61.39,65,71,4.79
292,Korla,CN,4/27/22 17:27,41.7597,86.1469,66.15,28,100,4.38
293,Seybaplaya,MX,4/27/22 17:27,19.65,-90.6667,87.26,57,99,4
294,Torres,BR,4/27/22 17:27,-29.3353,-49.7269,92.82,59,1,6.91
295,Cuauhtemoc,MX,4/27/22 17:24,28.4167,-106.8667,70.48,26,2,8.3
296,Warmbad,NA,4/27/22 17:27,-28.45,18.7333,76.12,22,11,17.47
297,Solnechnyy,RU,4/27/22 17:27,50.7214,136.6319,27.57,75,100,10.6
298,Aklavik,CA,4/27/22 17:27,68.2191,-135.0107,20.37,90,100,9.1
299,Grindavik,IS,4/27/22 17:27,63.8424,-22.4338,46.87,71,75,5.75
300,Miyako,JP,4/27/22 17:23,39.6367,141.9525,42.78,68,80,7.85
301,Farah,AF,4/27/22 17:27,32.5,62.5,84.36,13,99,4.21
302,Berdigestyakh,RU,4/27/22 17:27,62.0989,126.6992,14.43,97,73,4.18
303,Dudinka,RU,4/27/22 17:27,69.4058,86.1778,29.62,95,100,28.63
