City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
307,Russell,US,32.3502,-85.1999,81.91,26,20,10.36,few clouds
308,Nisia Floresta,BR,-6.0911,-35.2086,86.81,74,64,12.08,broken clouds
309,Komsomolskiy,UZ,40.4272,71.7189,65.12,63,100,4.61,overcast clouds
310,Palomares,MX,17.15,-95.0667,91.4,39,7,9.62,clear sky
311,Sao Borja,BR,-28.6606,-56.0044,63.95,80,58,14.47,broken clouds
312,Taloda,IN,21.5667,74.2167,94.1,18,4,11.61,clear sky
313,Sawtell,AU,-30.3833,153.1,67.19,94,75,5.75,broken clouds
314,Jurado,CO,7.1053,-77.7641,81.97,81,100,4.85,moderate rain
315,Datong,CN,40.0936,113.2914,46.02,69,84,4.29,broken clouds
316,Antalaha,MG,-14.9003,50.2788,76.03,77,30,11.97,scattered clouds
317,Ostrovnoy,RU,68.0531,39.5131,23.67,84,100,17.2,overcast clouds
318,Aktash,RU,50.3,87.7333,26.53,73,66,3.44,broken clouds
319,Boa Vista,BR,2.8197,-60.6733,91.38,49,75,5.75,broken clouds
320,Champerico,GT,14.3,-91.9167,93.74,61,12,9.42,few clouds
321,Odesskoye,RU,54.2111,72.9651,64.98,38,100,11.72,overcast clouds
322,Vila Velha,BR,-20.3297,-40.2925,85.95,73,20,12.66,few clouds
323,Yamethin,MM,20.4333,96.15,85.98,42,87,5.93,overcast clouds
324,Flin Flon,CA,54.7682,-101.865,42.64,56,75,6.91,broken clouds
325,Karasburg,NA,-28.0167,18.75,69.48,25,0,10.6,clear sky
326,Takanabe,JP,32.1333,131.5,66.2,99,100,1.39,moderate rain
327,Campo Verde,BR,-20.4167,-54.0667,90.43,26,34,6.46,scattered clouds
328,Ucluelet,CA,48.9329,-125.5528,51.1,77,100,1.99,overcast clouds
329,Vanavara,RU,60.34,102.2797,33.58,96,77,6.29,broken clouds
330,Price,US,39.5994,-110.8107,69.12,19,100,18.61,overcast clouds
331,Alekseyevsk,RU,57.8406,108.3492,25,96,47,3.27,scattered clouds
332,Takoradi,GH,4.8845,-1.7554,78.58,82,100,2.13,overcast clouds
333,Marovoay,MG,-16.1,46.6333,76.48,86,71,3.91,light rain
334,Fairbanks,US,64.8378,-147.7164,49.08,45,87,1.01,overcast clouds
